ID	Dashi_REF	Dashi_SEQ	Ega_REF	Ega_SEQ	Enqi_REF	Enqi_SEQ	Eryuan_REF	Eryuan_SEQ	Gongxing_REF	Gongxing_SEQ	Heqing_REF	Heqing_SEQ	Jianchuan_REF	Jianchuan_SEQ	Jinman_REF	Jinman_SEQ	Jinxing_REF	Jinxing_SEQ	Lanping_REF	Lanping_SEQ	Luobenzhuo_REF	Luobenzhuo_SEQ	Mazhelong_REF	Mazhelong_SEQ	Qiliqiao_REF	Qiliqiao_SEQ	Tuoluo_REF	Tuoluo_SEQ	Xiangyun_REF	Xiangyun_SEQ	Yunlong_REF	Yunlong_SEQ	Zhoucheng_REF	Zhoucheng_SEQ
dog	kʰ w a ŋ ³³	kʰ w a ŋ ³³	qʰ w a - ²²	qʰ w a ²²	qʰ w a - ²²	qʰ w a ²²	kʰ - ɔ - ³³	kʰ ɔ ³³	qʰ w a ŋ ²²	qʰ w a ŋ ²²	kʰ w ã - ³³	kʰ w ã ³³	kʰ w ã - ³³	kʰ w ã ³³	qʰ - õ - ²²	qʰ õ ²²	kʰ w ɑ̃ ŋ ³³	kʰ w ɑ̃ ŋ ³³	kʰ w ã - ⁴⁴	kʰ w ã ⁴⁴	qʰ - õ - ³³	qʰ õ ³³	kʰ w a ŋ ³³	kʰ w a ŋ ³³	kʰ w a - ³³	kʰ w a ³³	qʰ w a ŋ ³³	qʰ w a ŋ ³³	kʰ w ã - ³³	kʰ w ã ³³	kʰ w a - ³³	kʰ w a ³³	kʰ w a - ³³	kʰ w a ³³
door	m e - ²¹ - - -	m e ²¹	m ɛ - ²¹ - - -	m ɛ ²¹	m ɛ - ²¹ - - -	m ɛ ²¹	m e - ²¹ - - -	m e ²¹	m ǝ n ¹² - - -	m ǝ n ¹²	m e - ²¹ - - -	m e ²¹	m e - ²¹ - - -	m e ²¹	m e - ²¹ - - -	m e ²¹	m e - ²¹ - - -	m e ²¹	m ẽ - ²¹ s ẽ ²¹	m ẽ ²¹ s ẽ ²¹	m æ - ²¹ - - -	m æ ²¹	m e - ²¹ - - -	m e ²¹	m e - ²¹ - - -	m e ²¹	m ɛ - ³⁵ - - -	m ɛ ³⁵	m e - ²¹ - - -	m e ²¹	m ɛ - ²¹ - - -	m ɛ ²¹	m e - ²¹ - - -	m e ²¹
dragon	l õ - ²¹	l õ ²¹	l u - ²¹	l u ²¹	l u - ²¹	l u ²¹	n ɤ - ²¹	n ɤ ²¹	l õ - ¹²	l õ ¹²	n u - ²¹	n u ²¹	n ɤ - ²¹	n ɤ ²¹	l u - ²¹	l u ²¹	l ɤ̃ - ²¹	l ɤ̃ ²¹	n ɔ - ²¹	n ɔ ²¹	l u - ³¹	l u ³¹	l o ŋ ²¹	l o ŋ ²¹	n ɤ - ²¹	n ɤ ²¹	l o ŋ ³⁵	l o ŋ ³⁵	n ɤ̃ - ²¹	n ɤ̃ ²¹	n ɤ - ²¹	n ɤ ²¹	l ɤ - ²¹	l ɤ ²¹
dry	k ã - ³⁵	k ã ³⁵	q o - ⁵⁵	q o ⁵⁵	q a - ²⁴	q a ²⁴	k a - ³⁵	k a ³⁵	q a ŋ ⁵⁵	q a ŋ ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	q ã - ⁵⁵	q ã ⁵⁵	k ɑ̃ - ⁵⁵	k ɑ̃ ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	q ã - ⁵⁵	q ã ⁵⁵	k a ŋ ⁵⁵	k a ŋ ⁵⁵	k a - ³⁵	k a ³⁵	q ɔ ŋ ⁵⁵	q ɔ ŋ ⁵⁵	k ã - ³⁵	k ã ³⁵	k a - ³⁵	k a ³⁵	k a - ³⁵	k a ³⁵
early	ʦ u - ³³	ʦ u ³³	ʨ y j ²²	ʨ y j ²²	ʨ y j ²²	ʨ y j ²²	ʦ ɔ - ³³	ʦ ɔ ³³	ʨ y - ²²	ʨ y ²²	ʦ u - ³³	ʦ u ³³	ʦʰ u - ³³	ʦʰ u ³³	ʦ y j ²²	ʦ y j ²²	ʦ u - ³³	ʦ u ³³	ʦ u - ³³	ʦ u ³³	ʨ y - ³³	ʨ y ³³	ʦ u - ³³	ʦ u ³³	ʧ u - ³³	ʧ u ³³	ʨ y j ³³	ʨ y j ³³	z u - ³³	z u ³³	ʦ u - ³³	ʦ u ³³	ʦ u - ³³	ʦ u ³³
earring	- - - - - - k o ŋ ³¹ - - - - -	k o ŋ ³¹	- - - - - - k o - ²¹ - - - - -	k o ²¹	- - - - - - k o - ²² - - - - -	k o ²²	ɲ ɤ ³³ - - - k ɤ - ³¹ ʦ - a - ²¹	ɲ ɤ ³³ k ɤ ³¹ ʦ a ²¹			j ĩ ³³ - - - k ɔ̃ w ⁴² - - - - -	j ĩ ³³ k ɔ̃ w ⁴²	j ĩ ³³ - - - k õ - ²¹ - - - - -	j ĩ ³³ k õ ²¹	- - - - - - k õ - ²¹ - - - - -	k õ ²¹	- - - - - - k õ - ²¹ - - - - -	k õ ²¹	j ɛ̃ ⁴⁴ - - - k ɔ̃ - ³¹ ʨ - ĩ - ⁴⁴	j ɛ̃ ⁴⁴ k ɔ̃ ³¹ ʨ ĩ ⁴⁴	ʔ ẽ ⁵⁵ - - - q ɔ - ²¹ - - - - -	ʔ ẽ ⁵⁵ q ɔ ²¹	- - - - - - k o ŋ ²¹ - - - - -	k o ŋ ²¹	n ɤ ³³ - - - k ɤ - ²¹ k w a - ⁴⁴	n ɤ ³³ k ɤ ²¹ k w a ⁴⁴	- - - - - - q o ŋ ³⁵ - - - - -	q o ŋ ³⁵	j ɔ ³³ p i ³¹ k o w ⁵⁵ l - o w ⁵⁵	j ɔ ³³ p i ³¹ k o w ⁵⁵ l o w ⁵⁵	ɲ ɤ ³³ - - - k ɤ - ³¹ - - - - -	ɲ ɤ ³³ k ɤ ³¹	- - - - - - k u - ²¹ - - - - -	k u ²¹
earth	ʨ i ³¹ - - -	ʨ i ³¹	ʨ i ⁴² - - -	ʨ i ⁴²	ʥ i ⁴² - - -	ʥ i ⁴²	ʨ i ³¹ - - -	ʨ i ³¹	ʥ i ⁴² - - -	ʥ i ⁴²	ʨ i ³¹ p ɛ ²¹	ʨ i ³¹ p ɛ ²¹	ʨ i ³¹ p ɛ ²¹	ʨ i ³¹ p ɛ ²¹	ʥ i ⁴² - - -	ʥ i ⁴²	ʨ i ³¹ - - -	ʨ i ³¹	ʨ i ³¹ - - -	ʨ i ³¹	ʨ ĩ ⁴⁴ p a ⁴²	ʨ ĩ ⁴⁴ p a ⁴²	t i ²¹ - - -	t i ²¹	ʨ i ³¹ p ɛ ²¹	ʨ i ³¹ p ɛ ²¹	ʑ i ²¹ - - -	ʑ i ²¹	j i ³¹ p ɛ ²¹	j i ³¹ p ɛ ²¹	ʨ i ³¹ - - -	ʨ i ³¹	ʨ i ³¹ - - -	ʨ i ³¹
earthworm_worm	- - - - - - - - - - t͡ʂ - o - ²¹	t͡ʂ o ²¹	- - - - - - - - - - ʨ - i w ²¹	ʨ i w ²¹	- - - - - - - - - - ʨ j o - ²¹	ʨ j o ²¹	kʲ - i ³¹ - - - k ɛ ³⁵ t͡ʂ - ɤ - ²¹	kʲ i ³¹ k ɛ ³⁵ t͡ʂ ɤ ²¹	- - - - - - - - - - ʣ w a - ¹²	ʣ w a ¹²	x w a ⁵⁵ tʰ u ³³ - - - ʦ w ɔ̃ - ²¹	x w a ⁵⁵ tʰ u ³³ ʦ w ɔ̃ ²¹	ʨ - i ²¹ ʨ ɛ ⁵⁵ - - - ʦ - ɤ - ²¹	ʨ i ²¹ ʨ ɛ ⁵⁵ ʦ ɤ ²¹	- - - - - - - - - - ʨ - i w ²¹	ʨ i w ²¹	- - - - - - - - - - ʦ - ɤ̃ - ²¹	ʦ ɤ̃ ²¹	k - u ⁵⁵ l u ⁵⁵ - - - ʦ - u - ²¹	k u ⁵⁵ l u ⁵⁵ ʦ u ²¹	- - - - - - - q ɔ ⁵⁵ ʨ - ɤ - ³¹	q ɔ ⁵⁵ ʨ ɤ ³¹	- - - - - - - - - - ʣ - õ - ²¹	ʣ õ ²¹	p - i ²¹ ʨ a ³⁵ - - - ʦ - ɤ - ²¹	p i ²¹ ʨ a ³⁵ ʦ ɤ ²¹	- - - - - - - - - - ʐ - ɤ - ³⁵	ʐ ɤ ³⁵	ɕ - i ³³ l i ³³ kʲ ɛ ³⁵ ʨ - ɛ̃ - ²¹	ɕ i ³³ l i ³³ kʲ ɛ ³⁵ ʨ ɛ̃ ²¹	ʨ - i ³¹ - - - k ɛ ³⁵ ʨ w a - ²¹	ʨ i ³¹ k ɛ ³⁵ ʨ w a ²¹	- - - - - - - - - - ʦ - ɤ - ²¹	ʦ ɤ ²¹
egg	s e n ⁴²	s e n ⁴²	s ɛ - ⁴²	s ɛ ⁴²	s ɛ - ⁴³	s ɛ ⁴³	s e - ⁴²	s e ⁴²	s e n ⁴²	s e n ⁴²	s ẽ - ⁴²	s ẽ ⁴²	s e - ⁴²	s e ⁴²	s ẽ - ⁴²	s ẽ ⁴²	s e n ⁴²	s e n ⁴²	s ɛ̃ - ⁴²	s ɛ̃ ⁴²	s æ̃ - ⁴²	s æ̃ ⁴²	s ɛ - ⁴²	s ɛ ⁴²	s e - ³²	s e ³²	s e n ²¹	s e n ²¹	s ẽ - ⁴²	s ẽ ⁴²	s ɛ - ⁴²	s ɛ ⁴²	s e - ⁴²	s e ⁴²
eight	p j a ⁴⁴	p j a ⁴⁴	ʨ ɥ a ⁴⁴	ʨ ɥ a ⁴⁴	p j a ⁵⁵	p j a ⁵⁵	p j a ⁴⁴	p j a ⁴⁴	ʨ w a ²⁴	ʨ w a ²⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	ʨ w a ⁵⁵	ʨ w a ⁵⁵	p j o ⁴⁴	p j o ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	ʧ w a ⁴⁴	ʧ w a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	ʨ - o ⁴²	ʨ o ⁴²	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴	p j a ⁴⁴
eye	- w ẽ - ³³	w ẽ ³³	ŋ w i - ²²	ŋ w i ²²	ŋ w i - ²²	ŋ w i ²²	ŋ w e - ³³	ŋ w e ³³	- w e n ²²	w e n ²²	- w ẽ - ³³	w ẽ ³³	- w ẽ - ³³	w ẽ ³³	m - i - ²²	m i ²²	- w ẽ - ³³	w ẽ ³³	- w ẽ - ⁴⁴	w ẽ ⁴⁴	m - i - ³³	m i ³³	ŋ w ɛ - ³³	ŋ w ɛ ³³	- w e - ³³	w e ³³	- w e n ³³	w e n ³³	- w ẽ - ³³	w ẽ ³³	ŋ w e - ³³	ŋ w e ³³	- w e - ³³	w e ³³
far	t w e n ³³	t w e n ³³	t - i - ²²	t i ²²	t ɥ ɛ - ²²	t ɥ ɛ ²²	t w e - ³³	t w e ³³	t ɥ e n ²²	t ɥ e n ²²	t w ẽ - ³³	t w ẽ ³³	t w ẽ - ³³	t w ẽ ³³	t - y j ²²	t y j ²²	t w e n ³³	t w e n ³³	t w ẽ - ⁴⁴	t w ẽ ⁴⁴	d - y - ³³	d y ³³	ʦ w e n ³³	ʦ w e n ³³	t w e - ³³	t w e ³³	t w e - ³³	t w e ³³	t w ẽ - ³³	t w ẽ ³³	t w e - ³³	t w e ³³	t w e - ³³	t w e ³³
fat	t͡ʂ i ⁵⁵	t͡ʂ i ⁵⁵	ʦ ɛ ⁵⁵	ʦ ɛ ⁵⁵	ʦ ɿ ²⁴	ʦ ɿ ²⁴	ʦ ɿ ³⁵	ʦ ɿ ³⁵	t͡ʂ i ⁵⁵	t͡ʂ i ⁵⁵	ʦ ɿ ⁵⁵	ʦ ɿ ⁵⁵	ʦ ɿ ⁵⁵	ʦ ɿ ⁵⁵	t͡ʂ i ⁵⁵	t͡ʂ i ⁵⁵	ʦ i ⁵⁵	ʦ i ⁵⁵	ʦ ɿ ⁵⁵	ʦ ɿ ⁵⁵	t͡ʂ ʅ ⁵⁵	t͡ʂ ʅ ⁵⁵	ʦ i ⁵⁵	ʦ i ⁵⁵	ʦ ɿ ³⁵	ʦ ɿ ³⁵	t͡ʂ i ⁵⁵	t͡ʂ i ⁵⁵	ʦ ɿ ³⁵	ʦ ɿ ³⁵	ʦ ɿ ³⁵	ʦ ɿ ³⁵	ʦ i ³⁵	ʦ i ³⁵
finger	ʂ - ɯ - ³³ t i - ³¹ - - - - - - - -	ʂ ɯ ³³ t i ³¹	ɕ - i - ²² - - - - ʦ - ɛ ²² - - - -	ɕ i ²² ʦ ɛ ²²	ɕ j ɯ - ²² - - - - ʦ - ɿ ²² - - - -	ɕ j ɯ ²² ʦ ɿ ²²	ʂ - ɯ - ³³ t ɯ - ²¹ ʦ - e ⁴⁴ n e - ³¹	ʂ ɯ ³³ t ɯ ²¹ ʦ e ⁴⁴ n e ³¹	ʂ - i - ²² - - - - t͡ʂ - i ²² - - - -	ʂ i ²² t͡ʂ i ²²	sʰ - ɯ - ³³ t ɯ - ²¹ t - i ⁵⁵ m ɔ w ³³	sʰ ɯ ³³ t ɯ ²¹ t i ⁵⁵ m ɔ w ³³	s - ɯ - ³³ t ɯ - ²¹ ʦ - ɿ ³³ - - - -	s ɯ ³³ t ɯ ²¹ ʦ ɿ ³³	ɕ - i - ²² - - - - t͡ʂ - ɚ ²² - - - -	ɕ i ²² t͡ʂ ɚ ²²	s - ɯ - ³³ - - - - ʦ - i ³³ - - - -	s ɯ ³³ ʦ i ³³	s - ɯ - ³³ t i - ⁵⁵ t j ɯ ³³ - - - -	s ɯ ³³ t i ⁵⁵ t j ɯ ³³	ɕ - i - ³³ - - - - ʨ - ɯ̃ ³¹ - - - -	ɕ i ³³ ʨ ɯ̃ ³¹	s - ǝ w ³³ - - - - ʦ - i ⁴⁴ - - - -	s ǝ w ³³ ʦ i ⁴⁴	s - ɯ - ³³ ʦ ɿ - ³¹ ʦ - ɿ ³³ - - - -	s ɯ ³³ ʦ ɿ ³¹ ʦ ɿ ³³	ɕ - ɨ w ³³ - - - - t͡ʂ - ɚ ³³ - - - -	ɕ ɨ w ³³ t͡ʂ ɚ ³³	s - o w ³³ t o w ²¹ ʦ - ɿ ³³ - - - -	s o w ³³ t o w ²¹ ʦ ɿ ³³	ʃ - ɤ - ³³ - - - - ʦ - ɿ ³³ - - - -	ʃ ɤ ³³ ʦ ɿ ³³	s - ɯ - ³³ - - - - ʦ - i ³³ - - - -	s ɯ ³³ ʦ i ³³
fingernail	ʂ - ɯ - ³³ - - - - - - - - k - a ⁴⁴ - - - -	ʂ ɯ ³³ k a ⁴⁴	ɕ - i - ²² - - - - - - - - q - a ⁴⁴ - - - -	ɕ i ²² q a ⁴⁴	- - - - - t j ɯ - ²¹ - - - q - a ²⁴ - - - -	t j ɯ ²¹ q a ²⁴	ʂ - ɯ - ³³ t - ɯ - ²¹ - - - kʲ - ɛ ⁴⁴ - - - -	ʂ ɯ ³³ t ɯ ²¹ kʲ ɛ ⁴⁴	- - - - - t͡ʂ - i - ²⁴ - - - q - a ²⁴ - - - -	t͡ʂ i ²⁴ q a ²⁴	sʰ - ɯ - ³³ t - ɯ - ²¹ - - - k - ɛ ⁴² - - - -	sʰ ɯ ³³ t ɯ ²¹ k ɛ ⁴²	s - ɯ - ³³ t - ɯ - ²¹ - - - k - ɛ ⁴⁴ - - - -	s ɯ ³³ t ɯ ²¹ k ɛ ⁴⁴	- - - - - - - - - - - - - q - a ⁴⁴ - - - -	q a ⁴⁴	s - ɯ - ³³ - - - - - - - - k - a ⁴⁴ - - - -	s ɯ ³³ k a ⁴⁴	s - ɯ - ³³ t - i - ⁵⁵ - - - k - ɛ ⁴⁴ pʰ j ɛ ⁵⁵	s ɯ ³³ t i ⁵⁵ k ɛ ⁴⁴ pʰ j ɛ ⁵⁵	ɕ - i - ³³ ʨ - ɯ̃ - ³¹ t ɯ ³¹ q w a ⁵⁵ - - - -	ɕ i ³³ ʨ ɯ̃ ³¹ t ɯ ³¹ q w a ⁵⁵	s - ǝɯ - ³³ - - - - - - - - k - ɚ ⁴⁴ - - - -	s ǝɯ ³³ k ɚ ⁴⁴	s - ɯ - ³³ ʨ - i - ³³ - - - k j ɛ ⁴⁴ - - - -	s ɯ ³³ ʨ i ³³ k j ɛ ⁴⁴	ɕ j ɯ - ³³ - - - - - - - - q - a ⁴² - - - -	ɕ j ɯ ³³ q a ⁴²	s - o w ³³ t - o w ²¹ - - - kʲ - ɛ ⁴⁴ - - - -	s o w ³³ t o w ²¹ kʲ ɛ ⁴⁴	ʃ - ɤ - ³³ t - ɯ - ²¹ - - - k - ɛ ⁴⁴ - - - -	ʃ ɤ ³³ t ɯ ²¹ k ɛ ⁴⁴	s - ɯ - ³³ - - - - - - - - k - a ⁴⁴ - - - -	s ɯ ³³ k a ⁴⁴
fire	x w i ³³	x w i ³³	f - i ²²	f i ²²	x w i ²²	x w i ²²	x w e ³³	x w e ³³	x w ɛ ²²	x w ɛ ²²	xʰ w e ³³	xʰ w e ³³	x w e ³³	x w e ³³	f - i ²²	f i ²²	x w i ³³	x w i ³³	x w e ⁴⁴	x w e ⁴⁴	f - i ³³	f i ³³	f - i ³³	f i ³³	x w e ³³	x w e ³³	x w e ³³	x w e ³³	x w e ³³	x w e ³³	x w e ³³	x w e ³³	x w i ³³	x w i ³³
firewood	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	s - ɛ - ⁵⁵	s ɛ ⁵⁵	s - i - ²⁴	s i ²⁴	ɕ - i - ⁵⁵	ɕ i ⁵⁵	χ j e n ⁵⁵	χ j e n ⁵⁵	ɕʰ - ĩ - ⁵⁵	ɕʰ ĩ ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - ẽ - ⁵⁵	s ẽ ⁵⁵	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - ɛ̃ - ⁵⁵	s ɛ̃ ⁵⁵	ɕ - e n ⁵⁵	ɕ e n ⁵⁵	ɕ - i - ³⁵	ɕ i ³⁵	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - e - ⁵⁵	s e ⁵⁵	ɕ - i - ³⁵	ɕ i ³⁵
fish	- w ɤ̃ - ³⁵	w ɤ̃ ³⁵	ŋ - u - ⁵⁵	ŋ u ⁵⁵	ŋ - o - ²⁴	ŋ o ²⁴	- - ɤ - ³⁵	ɤ ³⁵	ŋ - o - ⁵⁵	ŋ o ⁵⁵	- - ũ - ⁵⁵	ũ ⁵⁵	- - ɤ̃ - ⁵⁵	ɤ̃ ⁵⁵	ŋ - u - ⁵⁵	ŋ u ⁵⁵	ṃ - - - ⁵⁵	ṃ ⁵⁵	- - ũ - ⁵⁵	ũ ⁵⁵	ɴ̣ - - - ³⁵	ɴ̣ ³⁵	- - o ŋ ⁵⁵	o ŋ ⁵⁵	ŋ - ɤ - ³⁵	ŋ ɤ ³⁵	ŋ - ɤ - ⁵⁵	ŋ ɤ ⁵⁵	ŋ - ɯ - ³⁵	ŋ ɯ ³⁵	ŋ - ɯ - ³⁵	ŋ ɯ ³⁵	ŋ - o - ³⁵	ŋ o ³⁵
five	- - õ ³³	õ ³³	ŋ - u ²²	ŋ u ²²	ŋ - u ²²	ŋ u ²²	ŋ - o ³³	ŋ o ³³	ŋ - o ²²	ŋ o ²²	ɣ - ũ ³³	ɣ ũ ³³	- - ɤ̃ ³³	ɤ̃ ³³	ŋ - u ²²	ŋ u ²²	- - ɤ̃ ³³	ɤ̃ ³³	- w õ ⁴⁴	w õ ⁴⁴	ŋ - ɤ̃ ³³	ŋ ɤ̃ ³³	ŋ̣̩ - - ³³	ŋ̣̩ ³³	ŋ - ɤ ³³	ŋ ɤ ³³	ŋ - ɤ ³³	ŋ ɤ ³³	- w ɔ̃ ³³	w ɔ̃ ³³	ŋ - u ³³	ŋ u ³³	m - u ³³	m u ³³
fly	f - ɤ ³⁵	f ɤ ³⁵	x w ɛ ⁵⁵	x w ɛ ⁵⁵	f - ɛ ²⁴	f ɛ ²⁴			p͡f - u ⁵⁵	p͡f u ⁵⁵					f - i ⁵⁵	f i ⁵⁵	f - ɤ ⁵⁵	f ɤ ⁵⁵					p - i ⁵⁵	p i ⁵⁵			f - ɚ ⁵⁵	f ɚ ⁵⁵					f - ɤ ³⁵	f ɤ ³⁵
foot	k o w ⁴⁴	k o w ⁴⁴	k u - ⁴⁴	k u ⁴⁴	k u - ⁵⁵	k u ⁵⁵	k o - ⁴⁴	k o ⁴⁴	k u - ²⁴	k u ²⁴	k o w ⁴⁴	k o w ⁴⁴	k o w ⁴⁴	k o w ⁴⁴	k o - ⁵⁵	k o ⁵⁵	k o w ⁴⁴	k o w ⁴⁴	k ɔ - ⁵⁵	k ɔ ⁵⁵	q u - ⁵⁵	q u ⁵⁵	k o - ⁴⁴	k o ⁴⁴	k o - ⁴⁴	k o ⁴⁴	k o - ⁴²	k o ⁴²	k ɔ - ⁴⁴	k ɔ ⁴⁴	k u - ³³	k u ³³	k o - ⁴⁴	k o ⁴⁴
four	ɕ i ⁴⁴	ɕ i ⁴⁴	s i ⁴⁴	s i ⁴⁴	s i ⁵⁵	s i ⁵⁵	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ²⁴	ɕ i ²⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	s i ⁵⁵	s i ⁵⁵	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴²	ɕ i ⁴²	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴	ɕ i ⁴⁴
fragrant	ɕ - o ŋ ³⁵	ɕ o ŋ ³⁵			ɕ j o - ²⁴	ɕ j o ²⁴	ɕ - ɔ - ³⁵	ɕ ɔ ³⁵	ɕ j o ŋ ⁵⁵	ɕ j o ŋ ⁵⁵	ɕ - õ w ⁵⁵	ɕ õ w ⁵⁵	ɕ - õ - ⁵⁵	ɕ õ ⁵⁵	ɕ - õ - ⁵⁵	ɕ õ ⁵⁵	ɕ j õ - ⁵⁵	ɕ j õ ⁵⁵	ɕ - o - ⁵⁵	ɕ o ⁵⁵			ɕ - o ŋ ⁵⁵	ɕ o ŋ ⁵⁵	ɕ - o - ³⁵	ɕ o ³⁵	ɕ - o ŋ ⁵⁵	ɕ o ŋ ⁵⁵	ɕ - ã - ³⁵	ɕ ã ³⁵	ɕ - ɔ - ³⁵	ɕ ɔ ³⁵	ɕ - o w ³⁵	ɕ o w ³⁵
frog	- - - - u - ³¹ - - - - - - - - - -	u ³¹	- - - - õ - ²¹ - - - - - - - - - -	õ ²¹	- - - - u - ²¹ - - - - - - - - - -	u ²¹	- - - - ɔ - ³¹ m ɛ ³⁵ - - - - - - -	ɔ ³¹ m ɛ ³⁵	- - - - õ - ¹² - - - - - - - - - -	õ ¹²	- - - - u - ³¹ m ɛ ³⁵ - - - - - - -	u ³¹ m ɛ ³⁵	- - - - õ - ²¹ m ɛ ⁵⁵ - - - - - - -	õ ²¹ m ɛ ⁵⁵	- - - - õ - ²¹ - - - - - - - - - -	õ ²¹	- - - - õ - ²¹ - - - - - - - - - -	õ ²¹	ʨʰ ɛ ⁴⁴ - ɔ̃ - ²¹ m ɛ ⁵⁵ - - - - - - -	ʨʰ ɛ ⁴⁴ ɔ̃ ²¹ m ɛ ⁵⁵	- a ⁴² ʔ õ - ⁴⁴ - - - - - - - - - -	a ⁴² ʔ õ ⁴⁴	l ɤ ⁴⁴ - ɛ - ³³ m ɚ ⁵⁵ - - - ʦ - i ³³	l ɤ ⁴⁴ ɛ ³³ m ɚ ⁵⁵ ʦ i ³³	- - - - o - ²¹ m ɛ ³⁵ - - - - - - -	o ²¹ m ɛ ³⁵	- - - - o ŋ ⁵⁵ - - - - - - - - - -	o ŋ ⁵⁵	ʨʰ ɛ̃ ²¹ - - - - m ɛ ²¹ m ɛ ³⁵ ʦ - ɿ ³³	ʨʰ ɛ̃ ²¹ m ɛ ²¹ m ɛ ³⁵ ʦ ɿ ³³	- - - w u - ²¹ - - - - - - ʦ w a ⁴²	w u ²¹ ʦ w a ⁴²	- - - - o w ²¹ - - - - - - - - - -	o w ²¹
frost	ʂ - o w ⁴⁴	ʂ o w ⁴⁴	ɕ w o ŋ ⁵⁵	ɕ w o ŋ ⁵⁵	ɕ j o - ²⁴	ɕ j o ²⁴	ʂ - ɔ - ⁵⁵	ʂ ɔ ⁵⁵	s - o ŋ ⁵⁵	s o ŋ ⁵⁵	sʰ - ɔ w ⁵⁵	sʰ ɔ w ⁵⁵	s - õ - ⁵⁵	s õ ⁵⁵	ɕ j õ - ⁵⁵	ɕ j õ ⁵⁵	s - õ - ⁵⁵	s õ ⁵⁵	s - õ - ⁵⁵	s õ ⁵⁵	ɕ - õ - ³³	ɕ õ ³³	s - o ŋ ⁵⁵	s o ŋ ⁵⁵	s - o - ⁵⁵	s o ⁵⁵	ɕ j o ŋ ⁵⁵	ɕ j o ŋ ⁵⁵	s - o w ⁵⁵	s o w ⁵⁵	s - o - ³³	s o ³³	s - o w ⁵⁵	s o w ⁵⁵
ghost	k - o ³³	k o ³³	ʦ - ɛ ²²	ʦ ɛ ²²	ʦ - ɿ ²²	ʦ ɿ ²²	k - ɤ ³³	k ɤ ³³	t͡ʂ - i ²²	t͡ʂ i ²²	k w ɔ ³³	k w ɔ ³³	k - ɤ ³³	k ɤ ³³	t͡ʂ - ɚ ²²	t͡ʂ ɚ ²²	k - ɤ ³³	k ɤ ³³	k w ɛ ³³	k w ɛ ³³	ʨ - ɯ ³³	ʨ ɯ ³³	ʨ - u ³³	ʨ u ³³	k - ɤ ³³	k ɤ ³³			k - ɯ ³³	k ɯ ³³	k - ɤ ³³	k ɤ ³³	k - ɤ ³³	k ɤ ³³
give	z i - ²¹	z i ²¹	z i - ⁴²	z i ⁴²	ʦ ɿ - ⁴³	ʦ ɿ ⁴³			z i - ⁴²	z i ⁴²					z i - ⁴²	z i ⁴²	s i - ³¹	s i ³¹					z ǝ w ²¹	z ǝ w ²¹			z i - ²¹	z i ²¹					z ɯ - ⁴²	z ɯ ⁴²
